gene_id	expo_rep1	expo_rep2	stat_rep1	stat_rep2
TK0001	11979	2116	13079	2242
TK0002	911	171	837	125
TK0003	172	32	182	19
TK0004	1872	314	1150	275
TK0005	972	293	699	178
TK0006	1353	274	988	164
TK0007	299	77	158	41
TK0008	3237	649	782	352
TK0009	2114	961	615	284
TK0010	529	259	173	59
TK0011	1603	479	532	131
TK0012	1512	339	1026	245
TK0013	259	66	219	42
TK0014	1477	274	1099	165
TK0015	4601	483	25416	3904
TK0016	140	41	112	114
TK0017	16	8	16	19
TK0018	275	162	1178	426
TK0019	1370	255	2481	546
TK0020	1089	187	2511	394
TK0021	1824	323	3661	591
TK0022	5023	777	5302	863
TK0023	866	115	990	141
TK0024	1453	290	1966	445
TK0025	2283	465	2666	709
TK0026	1310	291	1526	171
TK0027	1123	311	1378	264
TK0028	3786	965	5378	1454
TK0029	881	232	1044	122
TK0030	3861	1349	3780	848
TK0031	822	167	577	146
TK0032	1723	288	1364	364
TK0033	6817	1118	6919	1522
TK0034	7443	2335	8441	1294
TK0035	3589	915	2795	709
TK0036	24361	10085	21804	4868
TK0037	10382	2328	6031	1738
TK0038	2162	3199	3448	819
TK0039	5557	5368	6857	1546
TK0040	4365	2696	4527	842
TK0041	2290	1220	1997	445
TK0042	1928	972	1687	283
TK0043	1241	518	812	218
TK0044	6514	2272	4534	992
TK0045	506	182	296	76
TK0046	206	67	134	23
TK0047	491	105	311	34
TK0048	2342	486	1745	229
TK0049	1251	227	972	115
TK0050	1466	196	1160	148
TK0051	492	97	572	88
TK0052	1495	174	863	214
TK0053	6244	1615	6486	1011
TK0054	158	58	137	53
TK0055	905	116	615	226
TK0056	2960	434	2014	460
TK0057	663	30	1069	191
TK0058	487	75	468	93
TK0059	4125	558	3566	567
TK0060	3541	471	2696	504
TK0061	2223	373	2120	348
TK0062	899	220	926	281
TK0063	381	91	450	86
TK0064	252	43	273	46
TK0065	142	48	176	32
TK0066	536	64	569	43
TK0067	2565	342	2911	283
TK0068	1072	231	605	118
TK0069	5013	1125	2365	487
TK0070	9160	1492	8524	1575
TK0071	4826	709	2139	483
TK0072	6269	1815	1448	317
TK0073	49	6	23	20
TK0074	326	31	194	43
TK0075	374	36	252	46
TK0076	332	43	227	39
TK0077	3	0	0	1
TK0078	18	1	5	4
TK0079	12	1	5	1
TK0080	28	2	13	12
TK0081	37	2	31	13
TK0082	0	0	0	0
TK0083	8	3	5	1
TK0084	1	0	3	0
TK0085	176	11	157	18
TK0086	642	56	560	9
TK0087	375	37	137	26
TK0088	194	18	73	15
TK0089	33	1	8	3
TK0090	790	109	1318	448
TK0091	192	24	203	26
TK0092	13	1	4	1
TK0093	10	2	17	1
TK0094	164	18	166	54
TK0095	5	0	4	1
TK0096	218	19	112	36
TK0097	11	0	8	0
TK0098	19	2	13	5
TK0099	13	2	13	1
TK0100	62	5	43	3
TK0101	1	0	2	0
TK0102	81	4	52	10
TK0103	47	6	39	7
TK0104	97	14	103	15
TK0105	62	6	73	14
TK0106	1720	608	942	341
TK0107	1388	887	1064	373
TK0108	1969	803	1648	403
TK0109	4976	1472	4619	611
TK0110	1760	508	1672	273
TK0111	4213	708	1645	215
TK0112	30441	3921	10084	1246
TK0113	172	19	106	19
TK0114	75	15	34	15
TK0115	855	411	244	93
TK0116	13652	4297	15597	1111
TK0117	15863	3886	17166	810
TK0118	194	82	214	160
TK0119	177	38	1565	1410
TK0120	30	11	417	392
TK0121	19	2	152	127
TK0122	230	30	1825	955
TK0123	4571	861	2741	423
TK0124	1806	602	1365	249
TK0125	1716	433	1600	323
TK0126	4975	1227	5208	1336
TK0127	464	78	364	80
TK0128	1664	241	1372	162
TK0129	2654	364	1407	407
TK0130	19687	4827	10897	1570
TK0131	21896	5211	8690	1363
TK0132	18758	2867	8188	1018
TK0133	8508	1313	4993	1007
TK0134	4325	845	3376	736
TK0135	16308	3339	24630	4069
TK0136	44843	10222	68542	13107
TK0137	4256	1056	6881	1347
TK0138	68	26	137	28
TK0139	19224	5513	28164	6570
TK0140	161	73	202	50
TK0141	1755	442	1363	1435
TK0142	7249	2114	4775	1401
TK0143	553	234	528	209
TK0144	6456	1363	7067	1184
TK0145	804	138	897	177
TK0146	671	70	761	154
TK0147	5752	783	5053	1247
TK0148	2112	497	2975	491
TK0150	11858	2254	18683	3792
TK0151	2240	501	1766	438
TK0152	286	65	166	43
TK0153	5083	1066	4419	744
TK0154	3611	725	1772	382
TK0155	20641	2270	13597	3347
TK0156	2385	510	2859	979
TK0157	1240	632	1435	416
TK0158	494	111	540	115
TK0159	241	72	335	88
TK0160	612	308	519	117
TK0161	79	5	1714	749
TK0162	60	2	805	255
TK0163	106	9	1870	820
TK0164	578	55	8238	3266
TK0165	362	34	6335	2510
TK0166	1043	112	17441	5016
TK0167	1217	290	689	2166
TK0168	56	7	24	15
TK0169	777	115	378	110
TK0170	3968	936	3145	710
TK0171	2217	417	2142	463
TK0172	2469	669	1976	471
TK0173	358	141	345	80
TK0174	1084	333	1453	356
TK0175	1946	446	1451	276
TK0176	183	64	129	50
TK0177	216	46	212	34
TK0178	2457	334	1526	588
TK0179	2047	465	1532	378
TK0180	4610	1045	3737	888
TK0181	2928	653	2464	692
TK0182	2544	899	2682	249
TK0183	10810	2049	7127	1032
TK0184	13048	2520	9498	2044
TK0185	6809	991	3004	795
TK0186	12379	3386	35323	5008
TK0187	3221	715	4116	975
TK0188	538	54	255	99
TK0189	1965	358	1462	448
TK0190	1636	346	1502	362
TK0191	1209	210	903	208
TK0192	690	114	464	121
TK0193	5252	804	3206	949
TK0194	19147	2880	11217	3168
TK0195	2915	774	5241	770
TK0196	168	207	285	62
TK0197	359	384	570	171
TK0198	33	8	123	36
TK0199	113	23	250	50
TK0200	1212	309	2716	693
TK0201	163	112	237	42
TK0202	54	54	62	10
TK0203	408	302	487	115
TK0204	223	253	278	113
TK0205	1536	309	1596	197
TK0206	2521	407	2656	251
TK0207	496	454	741	194
TK0208	57	78	91	34
TK0209	207	53	192	49
TK0210	180	259	211	168
TK0211	215	311	228	120
TK0212	1527	370	1485	432
TK0213	306	86	350	102
TK0214	311	102	298	119
TK0215	207	18	294	41
TK0216	3174	1520	3360	484
TK0217	7631	3942	8825	2004
TK0218	1203	255	1254	364
TK0219	3458	1396	3609	814
TK0220	78	50	83	27
TK0221	561	131	647	124
TK0222	525	138	582	127
TK0223	62	7	140	45
TK0224	37	12	78	50
TK0225	718	100	787	183
TK0226	2312	312	2310	474
TK0227	514	105	388	79
TK0228	60	9	27	11
TK0229	74	8	43	18
TK0230	2855	342	3864	416
TK0231	674	83	760	63
TK0232	758	120	940	218
TK0233	295	49	477	125
TK0234	63	18	165	51
TK0235	333	60	581	84
TK0236	234	69	501	130
TK0237	24	9	73	15
TK0238	192	51	777	235
TK0239	367	105	492	149
TK0240	484	141	706	180
TK0241	440	124	597	158
TK0242	1090	77	604	125
TK0243	593	44	278	18
TK0244	593	47	275	19
TK0245	241	23	124	10
TK0246	101	13	57	4
TK0247	158	17	84	8
TK0248	90	16	88	1
TK0249	121	5	88	0
TK0250	522	42	292	12
TK0251	229	22	170	4
TK0252	824	116	595	88
TK0253	386	65	190	32
TK0255	55	10	51	58
TK0256	97	15	71	32
TK0257	274	71	293	116
TK0258	347	36	283	102
TK0259	1399	233	781	65
TK0260	2523	374	1714	204
TK0261	192	31	181	21
TK0262	343	93	510	44
TK0263	285	58	319	45
TK0264	422	56	374	55
TK0265	442	73	395	85
TK0266	330	34	279	43
TK0267	1179	161	864	175
TK0268	1730	205	1388	403
TK0269	2171	202	1384	440
TK0270	2336	201	1951	599
TK0271	2402	249	2210	644
TK0272	39	7	48	20
TK0273	303	59	315	118
TK0274	317	34	259	23
TK0275	403	28	271	27
TK0276	244	23	173	29
TK0277	355	38	231	42
TK0278	175	9	114	33
TK0279	20	3	15	4
TK0280	83	4	73	18
TK0281	14	1	9	3
TK0282	93	13	58	26
TK0283	367	70	190	70
TK0284	4739	548	2949	525
TK0285	7	2	5	2
TK0286	26	6	24	22
TK0287	4	1	1	4
TK0288	3638	186	638	90
TK0289	3781	606	5142	2354
TK0290	934	177	1004	247
TK0291	440	83	412	50
TK0292	417	75	471	110
TK0293	539	105	518	92
TK0294	42	8	86	10
TK0295	491	92	750	86
TK0296	3194	750	3806	947
TK0297	1061	217	854	277
TK0298	1424	395	2398	631
TK0299	1628	365	3947	1979
TK0300	144	14	384	71
TK0301	147	6	464	101
TK0302	552	53	358	90
TK0303	4151	291	3155	508
TK0304	6289	1429	6196	2226
TK0305	20240	3265	10092	2210
TK0306	117783	20362	33252	3990
TK0307	71806	11135	32371	5899
TK0308	310231	54851	172586	30313
TK0309	169429	25275	81143	18205
TK0310	380	58	345	82
TK0311	244	66	248	44
TK0312	3402	1415	2429	442
TK0313	8301	3306	5931	1392
TK0314	2058	505	971	356
TK0315	607	148	283	109
TK0316	4135	882	3364	834
TK0317	1187	112	577	228
TK0318	454	41	271	97
TK0319	1214	203	930	321
TK0320	1012	193	738	118
TK0321	190	29	575	121
TK0322	96	9	323	41
TK0323	168	14	372	43
TK0324	56	4	71	8
TK0325	47	6	81	9
TK0326	123	11	151	28
TK0327	1133	200	2315	560
TK0328	5104	2047	1049	1028
TK0329	8644	2771	5971	1639
TK0330	3502	859	2993	502
TK0331	500	63	867	152
TK0332	429	91	891	184
TK0333	634	110	1207	268
TK0334	374	69	460	94
TK0335	127	47	131	27
TK0336	1495	448	1626	343
TK0337	1156	311	823	169
TK0338	3048	438	1663	422
TK0339	1281	127	1013	207
TK0340	311	34	262	55
TK0341	2956	412	2420	484
TK0342	1683	290	1352	307
TK0343	973	148	731	120
TK0344	39	7	25	11
TK0345	2078	301	1362	380
TK0346	180	46	249	52
TK0347	7264	2456	15208	2387
TK0348	4924	1272	12671	1622
TK0349	17466	2192	12166	2296
TK0350	4444	390	2734	430
TK0351	205	16	120	39
TK0352	18908	3479	14644	2454
TK0353	626	273	548	177
TK0354	262	62	258	111
TK0355	934	60	803	241
TK0356	3232	400	3481	754
TK0357	918	82	768	97
TK0358	4863	1104	4839	1334
TK0359	983	152	684	168
TK0360	2379	439	1899	458
TK0361	643	99	413	139
TK0362	2	0	0	8
TK0363	2366	610	2635	406
TK0364	1011	212	913	122
TK0365	1092	69	2192	349
TK0366	1041	171	4384	970
TK0367	617	94	414	70
TK0368	2454	344	1955	452
TK0369	792	104	539	164
TK0370	1757	221	1343	278
TK0371	471	87	352	79
TK0372	471	125	413	90
TK0373	19	0	15	34
TK0374	332	37	257	640
TK0375	6079	1882	4588	1359
TK0376	10066	1495	2539	422
TK0377	4828	876	3033	838
TK0378	11012	2573	8889	1269
TK0379	679	124	390	187
TK0380	373	64	234	155
TK0381	30	4	10	5
TK0382	4	0	1	1
TK0383	0	0	0	0
TK0384	0	0	0	0
TK0385	1	0	0	0
TK0386	0	0	0	0
TK0387	0	0	0	0
TK0388	0	0	0	0
TK0389	58	4	23	1
TK0390	198	16	102	6
TK0391	27	2	10	0
TK0392	0	0	0	0
TK0393	145	9	104	10
TK0394	394	33	237	33
TK0395	216	20	133	24
TK0396	83	8	61	7
TK0397	511	83	655	92
TK0398	62	5	157	32
TK0399	1459	177	2570	458
TK0400	519	70	816	73
TK0401	185	27	322	24
TK0402	1183	110	1356	218
TK0403	70	7	85	23
TK0404	174	12	929	80
TK0405	611	99	916	45
TK0406	193	32	227	14
TK0407	69	6	23	9
TK0408	747	54	368	139
TK0409	626	89	525	120
TK0410	287	27	153	46
TK0411	63	6	28	7
TK0412	6	0	1	4
TK0413	38	2	24	3
TK0414	3	1	3	0
TK0415	25	3	17	7
TK0416	56	8	44	8
TK0417	4	2	2	1
TK0418	17	1	18	2
TK0419	96	7	50	12
TK0420	55	2	45	4
TK0421	86	19	73	15
TK0422	9347	565	5767	987
TK0423	2848	521	3849	1486
TK0424	269	82	264	281
TK0425	79	40	85	58
TK0426	227	106	17374	3067
TK0427	128	47	8761	1803
TK0428	520	160	1855	537
TK0429	302	94	819	178
TK0430	36	11	24	9
TK0431	64	14	26	8
TK0432	26	6	12	2
TK0433	85	11	59	18
TK0434	40	11	29	6
TK0435	167	29	97	25
TK0436	4661	1541	4756	719
TK0437	979	136	1771	245
TK0438	783	156	1485	347
TK0439	372	74	299	42
TK0440	6629	2026	3492	1136
TK0441	15817	3449	5881	3088
TK0442	203	11	4378	697
TK0443	324	34	3144	646
TK0444	7170	1133	9511	2910
TK0445	96	13	51	17
TK0446	833	76	1895	74
TK0447	440	38	963	39
TK0448	424	34	1001	38
TK0449	609	59	1628	66
TK0450	1699	127	3833	119
TK0451	2175	275	6343	167
TK0452	1551	217	4600	116
TK0453	6596	890	18623	517
TK0454	1454	239	4619	189
TK0455	570	58	1375	231
TK0456	227	29	364	63
TK0457	140	19	252	51
TK0458	390	82	1093	328
TK0459	874	156	2335	951
TK0460	1107	138	3827	1398
TK0461	889	133	2678	899
TK0462	1680	254	5837	1919
TK0463	1611	286	5245	2312
TK0464	722	153	1822	1354
TK0465	45605	13285	43468	7912
TK0466	1480	435	1915	274
TK0467	8378	890	34344	3127
TK0468	928	378	650	131
TK0469	585	106	619	101
TK0470	24921	3616	16960	3365
TK0471	33758	10667	33939	1410
TK0472	287	40	218	48
TK0473	315	31	265	53
TK0474	1017	172	912	287
TK0475	30147	4911	20406	3953
TK0476	6475	1364	3999	724
TK0477	3814	559	2669	670
TK0478	210	21	181	33
TK0479	2169	290	1678	414
TK0480	1386	162	1204	276
TK0481	5169	675	2045	602
TK0482	251	35	474	552
TK0483	92	10	156	70
TK0484	35	4	70	23
TK0485	70	4	75	26
TK0486	58	6	45	10
TK0487	92	5	71	21
TK0488	114	13	92	20
TK0489	145	15	108	36
TK0490	43	7	36	14
TK0491	252	16	265	47
TK0492	13696	2273	7697	1893
TK0493	39758	4862	25532	3717
TK0494	1975	280	2366	596
TK0495	1344	249	1742	267
TK0496	3	0	0	1
TK0497	2918	229	1782	669
TK0498	953	290	580	142
TK0499	5438	1446	7748	1269
TK0500	179	58	245	45
TK0501	354	105	621	99
TK0502	5512	1684	7952	1881
TK0503	378	137	576	140
TK0504	637	190	1105	227
TK0505	563	106	453	67
TK0506	3920	865	3211	937
TK0507	2979	358	2492	528
TK0508	2696	214	2064	357
TK0509	613	78	442	147
TK0510	5246	1379	5594	930
TK0511	6156	1136	4157	892
TK0512	2885	576	1750	376
TK0513	2947	511	1098	826
TK0514	331	19	168	53
TK0515	585	61	606	72
TK0516	2512	177	1596	173
TK0517	5585	907	3543	768
TK0518	615	129	406	133
TK0519	919	135	527	162
TK0520	1372	221	1725	561
TK0521	2808	742	2058	498
TK0522	1341	209	1089	230
TK0523	745	355	760	421
TK0524	4572	1607	4015	1880
TK0525	47437	10825	37510	13285
TK0526	408	73	1706	482
TK0527	1513	761	1147	678
TK0528	21490	6066	34951	7042
TK0529	554	150	466	270
TK0530	128	29	83	44
TK0531	109	25	90	51
TK0532	118	19	99	54
TK0533	1911	358	759	288
TK0534	586	66	198	41
TK0535	16635	3038	10355	1572
TK0536	5795	902	2993	389
TK0537	495946	125286	223055	97553
TK0538	266	33	222	41
TK0539	5968	1397	3787	3703
TK0540	2923	564	2619	1044
TK0541	6753	1844	18385	2434
TK0542	1432	351	3772	542
TK0543	38	7	127	20
TK0544	500	150	1467	179
TK0545	8653	2017	5201	575
TK0546	97	17	121	56
TK0547	481	103	342	123
TK0548	13512	4781	23366	2172
TK0549	8558	1036	5300	1158
TK0550	13249	1554	7176	2699
TK0551	3149	1033	2786	298
TK0552	1192	552	1222	107
TK0553	5930	763	4493	1038
TK0554	1887	168	1698	277
TK0555	253	25	341	132
TK0556	3393	585	3258	839
TK0557	557	81	400	158
TK0558	6356	1005	3478	1955
TK0559	5319	838	2118	1444
TK0560	58618	6010	27637	4378
TK0561	1059	538	1052	376
TK0562	639	92	459	73
TK0563	1717	273	1270	356
TK0564	1333	340	1035	346
TK0565	867	296	652	113
TK0566	12118	1330	9294	1606
TK0567	1810	230	1245	258
TK0568	11646	1156	7271	2157
TK0569	46569	6583	37240	7090
TK0570	31712	4465	23499	4475
TK0571	10104	2051	5147	1223
TK0572	11317	2000	7955	1212
TK0573	1525	250	806	123
TK0574	22796	3763	14804	2827
TK0575	198	44	174	56
TK0576	105	16	95	26
TK0577	15	1	12	2
TK0578	33	4	25	0
TK0579	32	0	20	5
TK0580	12	0	7	0
TK0581	2	0	3	0
TK0582	101	5	65	7
TK0583	26	1	10	8
TK0584	2	0	5	0
TK0585	13	0	4	0
TK0586	2	1	3	0
TK0587	226	21	81	24
TK0588	1962	226	1434	134
TK0589	212	42	352	50
TK0590	152	58	250	32
TK0591	1961	311	1691	237
TK0592	445	49	667	42
TK0593	981	119	1290	140
TK0594	377	61	261	38
TK0595	121	28	447	65
TK0596	213	18	880	178
TK0597	525	57	334	40
TK0598	22	3	25	3
TK0599	84	14	76	9
TK0600	93	3	66	9
TK0601	259	26	110	21
TK0602	321	27	247	33
TK0603	27	1	17	4
TK0604	38	2	14	3
TK0605	135	4	58	4
TK0606	1	0	0	0
TK0607	0	0	0	0
TK0608	0	0	0	0
TK0609	75	16	47	13
TK0610	188	28	120	43
TK0611	0	0	0	0
TK0612	0	0	0	0
TK0613	3	0	3	4
TK0614	31	7	19	6
TK0615	14767	1951	8636	2825
TK0616	6006	660	2900	990
TK0617	10622	1562	7241	1658
TK0618	2039	324	1698	348
TK0619	391	50	282	65
TK0620	330	45	283	46
TK0621	34	3	18	5
TK0622	22	9	27	12
TK0623	208	41	230	40
TK0624	24	10	28	11
TK0625	419	49	511	87
TK0626	679	199	296	174
TK0627	3387	1119	2009	526
TK0628	5830	1396	6207	1180
TK0629	3893	818	3764	769
TK0630	5479	876	5387	1309
TK0631	422	122	225	54
TK0632	290	136	223	48
TK0633	1291	587	1003	254
TK0634	1832	548	1522	352
TK0635	416	95	341	54
TK0636	352	72	194	34
TK0637	164	28	90	13
TK0638	2239	269	1321	169
TK0639	228	32	165	25
TK0640	811	99	493	85
TK0641	3257	366	1841	297
TK0642	1370	150	664	102
TK0643	13929	3087	9780	2127
TK0644	5683	1191	3408	731
TK0645	8292	2176	4986	612
TK0646	4047	799	2509	206
TK0647	4887	541	14139	1339
TK0648	1290	252	1011	235
TK0649	5313	746	2738	895
TK0650	11239	2876	7659	974
TK0651	668	181	472	120
TK0652	576	576	451	209
TK0653	8210	904	6050	679
TK0654	3872	515	3870	360
TK0655	1434	92	1936	194
TK0656	1450	144	1270	392
TK0657	36356	5566	31720	5652
TK0658	9358	1580	6319	1181
TK0659	3597	664	2605	426
TK0660	5600	1024	4041	760
TK0661	1311	438	1148	316
TK0662	631	103	1223	847
TK0663	10177	1124	5060	1493
TK0664	0	1	0	1
TK0665	92614	20537	65314	13828
TK0666	1302	329	1529	370
TK0667	368	97	236	96
TK0668	5175	1116	4870	1142
TK0669	15332	2563	11451	2771
TK0670	1282	302	1408	337
TK0671	4642	836	3905	947
TK0672	28	3	28	7
TK0673	1479	285	1122	320
TK0674	856	92	729	165
TK0675	148	13	5513	494
TK0676	942	154	12643	1570
TK0677	2276	829	1432	732
TK0678	54293	31738	27319	4847
TK0679	743	92	885	121
TK0680	32	5	26	1
TK0681	81	4	47	2
TK0682	5752	891	3782	772
TK0683	3886	1536	8694	1079
TK0684	4677	2256	11439	2577
TK0685	1172	179	751	312
TK0686	1394	284	920	324
TK0687	808	126	619	178
TK0688	266	28	201	21
TK0689	321	50	291	38
TK0690	3407	487	3146	364
TK0691	1201	187	1178	174
TK0692	314	58	361	30
TK0693	264	70	281	39
TK0694	593	141	672	107
TK0695	43	12	42	57
TK0696	126	35	122	178
TK0697	1063	218	756	90
TK0698	3405	1446	4110	407
TK0699	3877	1436	4142	567
TK0700	377	17	154	126
TK0701	1710	616	2494	397
TK0702	1377	508	1811	405
TK0703	704	292	1252	224
TK0704	791	163	824	217
TK0705	2778	520	12697	2578
TK0706	2520	270	37836	7915
TK0707	304	68	5012	924
TK0708	303	62	5792	894
TK0709	332	69	5500	862
TK0710	1293	143	13974	1274
TK0711	529	83	268	103
TK0712	468	58	446	200
TK0713	47	6	32	7
TK0714	160	23	151	28
TK0715	3	0	1	0
TK0716	0	0	0	0
TK0717	161	35	3823	945
TK0718	145	23	3051	462
TK0719	239	47	5613	608
TK0720	42	9	737	101
TK0721	60	40	60	9
TK0722	44	14	34	7
TK0723	219	110	225	98
TK0724	2118	421	4168	693
TK0725	211	59	303	53
TK0726	119	22	183	41
TK0727	637	115	796	269
TK0728	1225	337	1211	363
TK0729	815	664	617	120
TK0730	3625	1797	2513	681
TK0731	1869	1117	1310	634
TK0732	346	254	996	278
TK0733	33	17	69	22
TK0734	519	179	848	254
TK0735	492	163	815	194
TK0736	1154	318	1318	323
TK0737	59	9	50	10
TK0738	731	211	527	64
TK0739	3	0	4	1
TK0740	7	0	1	2
TK0741	871	189	535	78
TK0742	659	85	660	196
TK0743	1413	300	786	138
TK0744	762	288	789	204
TK0745	982	177	844	129
TK0746	2614	458	1897	450
TK0747	757	115	285	133
TK0748	362	25	138	118
TK0749	2776	308	1508	388
TK0750	2447	896	1903	2667
TK0751	347	38	1909	507
TK0752	6732	3241	6389	559
TK0753	64	1	223	89
TK0754	11687	1913	6624	2593
TK0755	1266	235	890	170
TK0756	1270	293	1064	127
TK0757	930	504	763	178
TK0758	1272	458	1042	242
TK0759	20155	3503	12494	4517
TK0760	6415	1378	4101	1658
TK0761	428	120	118	210
TK0762	673	260	542	236
TK0763	298	149	264	126
TK0764	8827	1661	6630	1525
TK0765	8092	1293	7215	1353
TK0766	279	74	240	96
TK0767	485	83	397	115
TK0768	95	20	88	18
TK0769	308	148	298	103
TK0770	489	250	280	108
TK0771	632	115	201	72
TK0772	1601	234	609	114
TK0773	928	41	2767	165
TK0774	890	98	693	97
TK0775	2774	484	2139	481
TK0776	1598	478	853	162
TK0777	4122	768	3677	841
TK0778	10585	1849	7258	2101
TK0779	1847	298	918	414
TK0780	500	88	310	66
TK0781	23110	7407	29986	4260
TK0782	576	151	441	62
TK0783	2245	345	1125	341
TK0784	5440	949	3032	865
TK0785	744	160	1035	286
TK0786	1025	305	1014	186
TK0787	1224	391	1161	314
TK0788	962	263	736	160
TK0789	2645	602	2387	710
TK0790	1052	189	1102	218
TK0791	976	229	993	167
TK0792	653	128	664	100
TK0793	5813	1334	6967	1325
TK0794	4039	841	7738	934
TK0795	5212	981	7892	1241
TK0796	2217	465	1461	241
TK0797	6984	1320	4506	740
TK0798	10715	2152	6299	1650
TK0799	14752	3311	7716	2395
TK0800	1902	577	1084	511
